SMILES,T,P,Leak Size,Material Quantity,Number of carbon atoms,Number of hydrogen atoms,Number of oxygen  atoms,Number of nitrogen  atoms,Number of sulfur  atoms,Number of Halogen atoms,Molecular Weight,DM,¦ÅHOMO,¦ÅLUMO,¦Ì,¦Ç,¦Ø,lg(Explosion Diameter)
CCC,50,100,50,10,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,1.923305168
CCC,50,100,50,20,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,1.923646513
CCC,50,100,50,100,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,1.923825108
CCC,100,100,50,10,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,1.876234588
CCC,100,100,50,20,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,1.876612107
CCC,100,100,50,100,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,1.876212643
CCC,0,500,50,10,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.893752333
CCC,0,500,50,20,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.893229522
CCC,0,500,50,100,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.893359451
CCC,20,500,50,10,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.8192497
CCC,20,500,50,20,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.819756425
CCC,20,500,50,100,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.819934625
CCC,50,500,50,10,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.731076011
CCC,50,500,50,20,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.730736261
CCC,50,500,50,100,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.730973549
CCC,100,500,50,10,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.319819923
CCC,100,500,50,20,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.319614001
CCC,100,500,50,100,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.319584873
CCC,0,1000,50,10,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.924015527
CCC,0,1000,50,20,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.923374598
CCC,0,1000,50,100,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.924448318
CCC,20,1000,50,10,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.868141094
CCC,20,1000,50,20,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.868146978
CCC,20,1000,50,100,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.868633272
CCC,50,1000,50,10,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.796986232
CCC,50,1000,50,20,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.79798523
CCC,50,1000,50,100,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.796886414
CCC,100,1000,50,10,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.649586015
CCC,100,1000,50,20,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.64910012
CCC,100,1000,50,100,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.649258899
C,0,1000,10,10,1,4,0,0,0,0,16.04,0,-0.3891,0.1179,-0.1356,0.507,0.0181,1.583860484
C,0,1000,10,20,1,4,0,0,0,0,16.04,0,-0.3891,0.1179,-0.1356,0.507,0.0181,1.58369062
C,0,1000,10,100,1,4,0,0,0,0,16.04,0,-0.3891,0.1179,-0.1356,0.507,0.0181,1.583832178
C,20,1000,10,10,1,4,0,0,0,0,16.04,0,-0.3891,0.1179,-0.1356,0.507,0.0181,1.558165963
C,20,1000,10,20,1,4,0,0,0,0,16.04,0,-0.3891,0.1179,-0.1356,0.507,0.0181,1.557727301
C,20,1000,10,100,1,4,0,0,0,0,16.04,0,-0.3891,0.1179,-0.1356,0.507,0.0181,1.558055438
C,50,1000,10,10,1,4,0,0,0,0,16.04,0,-0.3891,0.1179,-0.1356,0.507,0.0181,1.52671137
C,50,1000,10,20,1,4,0,0,0,0,16.04,0,-0.3891,0.1179,-0.1356,0.507,0.0181,1.526561538
C,50,1000,10,100,1,4,0,0,0,0,16.04,0,-0.3891,0.1179,-0.1356,0.507,0.0181,1.526930859
